region,date,anxiete_target,depression_target,pbsommeil_target,hyg4mes_target,portmasque_target
Auvergne-Rhône-Alpes,2021-04-05,0.22,0.19,0.66,0.46,0.23
Auvergne-Rhône-Alpes,2021-04-12,,,,,
Auvergne-Rhône-Alpes,2021-04-19,0.16,0.12,0.6,0.41,0.24
Auvergne-Rhône-Alpes,2021-04-26,0.2,0.22,0.72,0.46,0.28
Auvergne-Rhône-Alpes,2021-05-03,0.18,0.18,0.68,0.44,0.37
Auvergne-Rhône-Alpes,2021-05-10,,,,,
Auvergne-Rhône-Alpes,2021-05-17,0.18,0.13,0.65,0.46,0.49
Auvergne-Rhône-Alpes,2021-05-24,0.15,0.13,0.64,0.42,0.49
Auvergne-Rhône-Alpes,2021-05-31,0.11,0.09,0.67,0.43,0.54
Auvergne-Rhône-Alpes,2021-06-07,0.17,0.12,0.63,0.37,0.51
Auvergne-Rhône-Alpes,2021-06-14,,,,,
Auvergne-Rhône-Alpes,2021-06-21,,,,,
Auvergne-Rhône-Alpes,2021-06-28,0.14,0.1,0.63,0.39,0.51
Auvergne-Rhône-Alpes,2021-07-05,,,,,
Auvergne-Rhône-Alpes,2021-07-12,,,,,
Auvergne-Rhône-Alpes,2021-07-19,,,,,
Auvergne-Rhône-Alpes,2021-07-26,0.16,0.1,0.61,0.35,0.56
Auvergne-Rhône-Alpes,2021-08-02,,,,,
Auvergne-Rhône-Alpes,2021-08-09,0.17,0.15,0.66,0.4,0.5
Auvergne-Rhône-Alpes,2021-08-16,,,,,
Auvergne-Rhône-Alpes,2021-08-23,,,,,
Auvergne-Rhône-Alpes,2021-08-30,0.15,0.09,0.66,0.31,0.66
Auvergne-Rhône-Alpes,2021-09-06,,,,,
Auvergne-Rhône-Alpes,2021-09-13,,,,,
Auvergne-Rhône-Alpes,2021-09-20,,,,,
Auvergne-Rhône-Alpes,2021-09-27,0.14,0.08,0.61,0.32,0.73
Auvergne-Rhône-Alpes,2021-10-04,,,,,
Auvergne-Rhône-Alpes,2021-10-11,,,,,
Auvergne-Rhône-Alpes,2021-10-18,,,,,
Auvergne-Rhône-Alpes,2021-10-25,0.2,0.13,0.69,0.41,0.82
Bourgogne-Franche-Comté,2021-04-05,0.19,0.17,0.64,0.51,0.33
Bourgogne-Franche-Comté,2021-04-12,,,,,
Bourgogne-Franche-Comté,2021-04-19,0.18,0.18,0.61,0.45,0.17
Bourgogne-Franche-Comté,2021-04-26,0.19,0.22,0.65,0.46,0.2
Bourgogne-Franche-Comté,2021-05-03,0.16,0.22,0.7,0.45,0.32
Bourgogne-Franche-Comté,2021-05-10,,,,,
