,date,region,anxiete_feature_gtrends,colere_feature_gtrends,depression_feature_gtrends,ennui_feature_gtrends,estime_feature_gtrends,fatigue_feature_gtrends,insomnie_feature_gtrends,panique_feature_gtrends,pleure_feature_gtrends,problemes_feature_gtrends,psychiatre_feature_gtrends,psychologue_feature_gtrends,stress_feature_gtrends,suicide_feature_gtrends,tristesse_feature_gtrends
0,2020-01-06,Auvergne-Rhône-Alpes,28.0,19.0,45.0,0.0,15.5,49.5,53.0,29.0,39.0,22.0,46.0,45.5,57.5,33.0,41.0
1,2020-01-06,Bourgogne-Franche-Comté,0.0,66.5,0.0,0.0,17.0,28.0,37.5,0.0,18.5,44.0,32.5,50.5,27.0,55.5,62.5
2,2020-01-06,Bretagne,16.0,43.0,69.0,0.0,0.0,86.0,15.0,40.0,62.0,10.0,64.0,53.0,46.0,41.0,25.0
3,2020-01-06,Centre-Val de Loire,40.0,52.0,44.0,0.0,0.0,67.0,25.0,42.0,21.0,30.0,63.0,58.0,30.0,43.0,0.0
4,2020-01-06,Corse,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
5,2020-01-06,Grand-Est,12.666666666666666,17.333333333333332,48.333333333333336,11.0,16.0,58.333333333333336,44.333333333333336,21.666666666666668,38.666666666666664,51.333333333333336,36.0,58.666666666666664,50.666666666666664,46.666666666666664,12.0
6,2020-01-06,Hauts-de-France,51.5,22.0,28.5,45.5,44.5,38.0,35.5,9.0,45.5,70.0,62.5,62.5,75.5,25.5,57.0
7,2020-01-06,Normandie,49.5,27.0,46.0,20.5,0.0,49.5,32.0,0.0,84.0,28.0,40.5,58.0,31.5,34.0,0.0
8,2020-01-06,Nouvelle-Aquitaine,31.333333333333332,30.666666666666668,46.333333333333336,17.333333333333332,18.0,43.333333333333336,19.666666666666668,23.333333333333332,38.333333333333336,43.0,22.0,46.333333333333336,43.666666666666664,45.333333333333336,23.666666666666668
9,2020-01-06,Occitanie,29.5,43.5,4.5,0.0,45.0,54.0,40.0,25.0,28.0,29.5,59.0,68.0,66.5,32.5,37.5
10,2020-01-06,Pays de la Loire,77.0,53.0,61.0,0.0,0.0,84.0,32.0,100.0,51.0,46.0,62.0,100.0,39.0,32.0,0.0
11,2020-01-06,Provence-Alpes-Côte d'Azur,26.0,19.0,28.0,0.0,20.0,67.0,13.0,29.0,68.0,60.0,60.0,67.0,50.0,30.0,40.0
12,2020-01-06,Île-de-France,65.0,80.0,47.0,30.0,0.0,69.0,84.0,48.0,43.0,50.0,87.0,83.0,82.0,41.0,55.0
13,2020-01-13,Auvergne-Rhône-Alpes,37.0,31.0,52.0,0.0,8.0,58.5,62.5,33.0,27.0,49.0,64.5,54.5,55.5,70.0,24.5
14,2020-01-13,Bourgogne-Franche-Comté,0.0,0.0,0.0,0.0,59.5,42.0,21.5,0.0,41.5,8.0,38.0,46.5,52.0,37.5,0.0
15,2020-01-13,Bretagne,16.0,43.0,23.0,0.0,0.0,33.0,45.0,40.0,70.0,20.0,70.0,48.0,46.0,53.0,25.0
16,2020-01-13,Centre-Val de Loire,0.0,50.0,43.0,48.0,0.0,35.0,72.0,41.0,31.0,58.0,34.0,47.0,41.0,28.0,34.0
17,2020-01-13,Corse,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,47.0,27.0,23.0,53.0,0.0,0.0
18,2020-01-13,Grand-Est,0.0,17.666666666666668,21.333333333333332,0.0,33.333333333333336,62.0,5.333333333333333,17.0,38.0,57.666666666666664,39.333333333333336,70.0,52.333333333333336,56.0,26.666666666666668
19,2020-01-13,Hauts-de-France,23.5,21.0,28.0,14.0,0.0,56.5,83.5,17.0,71.5,54.5,54.5,60.0,61.5,47.0,36.0
20,2020-01-13,Normandie,48.5,15.5,46.5,19.5,0.0,52.5,62.5,17.0,36.5,37.0,58.0,74.0,61.0,50.0,12.0
21,2020-01-13,Nouvelle-Aquitaine,10.666666666666666,38.0,29.666666666666668,0.0,10.666666666666666,55.333333333333336,0.0,17.666666666666668,53.333333333333336,30.0,38.666666666666664,56.0,47.666666666666664,35.666666666666664,18.333333333333332
22,2020-01-13,Occitanie,27.5,38.0,29.5,0.0,0.0,69.0,27.0,0.0,36.0,54.5,80.0,73.0,85.0,34.5,29.0
23,2020-01-13,Pays de la Loire,37.0,30.0,25.0,0.0,0.0,48.0,31.0,16.0,31.0,36.0,54.0,57.0,52.0,17.0,36.0
24,2020-01-13,Provence-Alpes-Côte d'Azur,0.0,46.0,28.0,0.0,40.0,63.0,91.0,56.0,42.0,44.0,68.0,66.0,65.0,41.0,47.0
25,2020-01-13,Île-de-France,71.0,61.0,63.0,20.0,52.0,65.0,39.0,55.0,57.0,57.0,83.0,91.0,62.0,46.0,48.0
26,2020-01-20,Auvergne-Rhône-Alpes,38.5,37.5,20.0,10.0,25.0,45.0,49.0,14.5,47.0,53.0,34.5,68.0,59.5,42.5,31.0
27,2020-01-20,Bourgogne-Franche-Comté,41.5,100.0,17.0,0.0,11.5,62.0,30.0,16.5,47.0,8.5,74.0,53.5,31.5,22.5,24.5
28,2020-01-20,Bretagne,17.0,44.0,12.0,37.0,74.0,58.0,31.0,41.0,27.0,31.0,87.0,66.0,39.0,34.0,0.0
29,2020-01-20,Centre-Val de Loire,31.0,35.0,45.0,100.0,0.0,43.0,0.0,0.0,64.0,40.0,35.0,64.0,36.0,15.0,17.0
30,2020-01-20,Corse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,26.0,0.0,0.0
31,2020-01-20,Grand-Est,33.666666666666664,65.66666666666667,53.0,0.0,30.0,51.0,32.666666666666664,45.0,47.333333333333336,57.333333333333336,72.33333333333333,51.0,62.333333333333336,29.0,30.333333333333332
32,2020-01-20,Hauts-de-France,40.0,33.0,34.0,0.0,78.5,54.0,55.5,17.5,44.5,30.5,58.0,55.0,60.0,21.5,37.5
33,2020-01-20,Normandie,50.0,64.0,31.0,0.0,46.0,42.0,13.5,35.5,40.0,48.5,40.0,45.0,53.0,16.5,12.5
