,date,anxiety_tweets_counts,confinement,depression_tweets_counts,suicide_tweets_counts,psychiatrie_tweets_counts,psychologie_tweets_counts
0,2019-01-07 00:00:00+00:00,997,non,6777.0,3533.0,1550.0,3100.0
1,2019-01-14 00:00:00+00:00,930,non,6137.0,3277.0,1980.0,3303.0
2,2019-01-21 00:00:00+00:00,908,non,5852.0,3898.0,1928.0,3272.0
3,2019-01-28 00:00:00+00:00,1053,non,5890.0,3706.0,2731.0,3331.0
4,2019-02-04 00:00:00+00:00,1299,non,6556.0,4571.0,2114.0,3547.0
5,2019-02-11 00:00:00+00:00,1057,non,6113.0,4533.0,3077.0,3220.0
6,2019-02-18 00:00:00+00:00,888,non,6041.0,3470.0,1784.0,2951.0
7,2019-02-25 00:00:00+00:00,1090,non,6503.0,4097.0,1891.0,3200.0
8,2019-03-04 00:00:00+00:00,1478,non,6330.0,3418.0,1637.0,3101.0
9,2019-03-11 00:00:00+00:00,1369,non,6889.0,4819.0,1881.0,3417.0
10,2019-03-18 00:00:00+00:00,1116,non,6491.0,4461.0,1798.0,3226.0
11,2019-03-25 00:00:00+00:00,1101,non,5749.0,4547.0,2193.0,3300.0
12,2019-04-01 00:00:00+00:00,1192,non,5388.0,4551.0,1690.0,3004.0
13,2019-04-08 00:00:00+00:00,1505,non,6357.0,4247.0,2225.0,3161.0
14,2019-04-15 00:00:00+00:00,1071,non,5326.0,4100.0,2540.0,2848.0
15,2019-04-22 00:00:00+00:00,909,non,5286.0,6726.0,1487.0,3275.0
16,2019-04-29 00:00:00+00:00,1053,non,5967.0,5148.0,1704.0,3366.0
17,2019-05-06 00:00:00+00:00,995,non,5636.0,6454.0,1674.0,3143.0
18,2019-05-13 00:00:00+00:00,1135,non,6293.0,5120.0,1792.0,3226.0
19,2019-05-20 00:00:00+00:00,1128,non,6234.0,4811.0,1590.0,3408.0
20,2019-05-27 00:00:00+00:00,1191,non,6150.0,4377.0,1493.0,3230.0
21,2019-06-03 00:00:00+00:00,1121,non,5923.0,4415.0,1506.0,3241.0
22,2019-06-10 00:00:00+00:00,992,non,7513.0,4454.0,1719.0,3111.0
23,2019-06-17 00:00:00+00:00,1058,non,6330.0,4992.0,1769.0,3104.0
24,2019-06-24 00:00:00+00:00,1041,non,6235.0,4936.0,1730.0,3152.0
25,2019-07-01 00:00:00+00:00,982,non,5660.0,6073.0,1728.0,3131.0
26,2019-07-08 00:00:00+00:00,1008,non,5670.0,5339.0,1372.0,3290.0
27,2019-07-15 00:00:00+00:00,1014,non,5519.0,4505.0,1432.0,2876.0
28,2019-07-22 00:00:00+00:00,890,non,6152.0,6009.0,1943.0,3170.0
29,2019-07-29 00:00:00+00:00,1023,non,6304.0,4767.0,1654.0,3035.0
30,2019-08-05 00:00:00+00:00,1142,non,6503.0,4485.0,1690.0,3049.0
31,2019-08-12 00:00:00+00:00,1193,non,7464.0,8251.0,1444.0,2856.0
32,2019-08-19 00:00:00+00:00,1103,non,8363.0,5883.0,1634.0,3013.0
33,2019-08-26 00:00:00+00:00,1217,non,6955.0,5276.0,1791.0,3194.0
34,2019-09-02 00:00:00+00:00,1473,non,7913.0,5654.0,2712.0,3702.0
35,2019-09-09 00:00:00+00:00,1268,non,6904.0,4735.0,2305.0,3518.0
36,2019-09-16 00:00:00+00:00,1421,non,6389.0,6943.0,1935.0,3299.0
37,2019-09-23 00:00:00+00:00,1343,non,6664.0,4919.0,2927.0,3493.0
38,2019-09-30 00:00:00+00:00,1589,non,7548.0,6266.0,2262.0,3471.0
39,2019-10-07 00:00:00+00:00,1246,non,6678.0,8421.0,2009.0,3507.0
40,2019-10-14 00:00:00+00:00,1396,non,6864.0,6583.0,2092.0,3913.0
41,2019-10-21 00:00:00+00:00,1242,non,6825.0,4286.0,2147.0,3674.0
42,2019-10-28 00:00:00+00:00,1185,non,6920.0,4882.0,2478.0,3479.0
43,2019-11-04 00:00:00+00:00,1143,non,7738.0,4811.0,2352.0,3635.0
44,2019-11-11 00:00:00+00:00,1426,non,7065.0,5653.0,1937.0,3333.0
45,2019-11-18 00:00:00+00:00,1384,non,6855.0,5264.0,2002.0,3584.0
46,2019-11-25 00:00:00+00:00,1352,non,6810.0,6221.0,2126.0,3704.0
47,2019-12-02 00:00:00+00:00,1278,non,7376.0,4688.0,1915.0,3663.0
48,2019-12-09 00:00:00+00:00,1444,non,10533.0,9046.0,1844.0,3461.0
49,2019-12-16 00:00:00+00:00,1369,non,6845.0,4518.0,1877.0,3198.0
50,2019-12-23 00:00:00+00:00,1144,non,6451.0,4763.0,1967.0,3400.0
51,2019-12-30 00:00:00+00:00,1039,non,6081.0,4119.0,1337.0,2862.0
52,2020-01-06 00:00:00+00:00,1515,non,7055.0,5042.0,2754.0,3109.0
53,2020-01-13 00:00:00+00:00,1492,non,6928.0,5257.0,2334.0,3832.0
54,2020-01-20 00:00:00+00:00,1490,non,6800.0,5295.0,2338.0,3760.0
55,2020-01-27 00:00:00+00:00,1455,non,6906.0,4581.0,2647.0,3660.0
56,2020-02-03 00:00:00+00:00,1505,non,7297.0,4558.0,2272.0,3969.0
57,2020-02-10 00:00:00+00:00,1328,non,6693.0,5468.0,2442.0,4131.0
58,2020-02-17 00:00:00+00:00,1345,non,7357.0,5172.0,2891.0,3706.0
59,2020-02-24 00:00:00+00:00,1360,non,6931.0,5698.0,2366.0,3858.0
