region,date,loneliness_covidistress_target,stress_covidistress_target,support,incid_hosp_features_hospit,incid_rea_features_hospit,incid_dc_features_hospit,incid_rad_features_hospit
Auvergne-Rhône-Alpes,2020-04-06,0.3418384036637226,0.4791707556427874,1019,2160,433,297,1061
Auvergne-Rhône-Alpes,2020-04-13,0.3488247863247865,0.4923076923076922,156,1523,212,243,1144
Auvergne-Rhône-Alpes,2020-04-20,0.4281609195402299,0.5008620689655173,29,1220,153,271,973
Auvergne-Rhône-Alpes,2020-04-27,0.5208333333333334,0.56875,4,857,85,195,860
Auvergne-Rhône-Alpes,2020-05-04,0.4374999999999999,0.5104166666666666,12,570,60,141,628
Auvergne-Rhône-Alpes,2020-05-11,0.346875,0.4753125000000001,80,404,44,115,593
Auvergne-Rhône-Alpes,2020-05-18,0.5277777777777778,0.5,3,293,32,73,557
Auvergne-Rhône-Alpes,2020-05-25,0.5277777777777778,0.4916666666666667,3,232,20,63,428
Bourgogne-Franche-Comté,2020-04-06,0.3879056047197641,0.4699115044247789,226,1089,182,185,500
Bourgogne-Franche-Comté,2020-04-13,0.3333333333333333,0.4847222222222221,36,788,98,145,505
Bourgogne-Franche-Comté,2020-04-20,0.25,0.5,2,612,66,167,419
Bourgogne-Franche-Comté,2020-04-27,0.4583333333333333,0.475,2,434,57,138,426
Bourgogne-Franche-Comté,2020-05-04,1.0,0.625,1,284,36,57,277
Bourgogne-Franche-Comté,2020-05-11,0.357843137254902,0.475,17,250,28,70,302
Bretagne,2020-04-06,0.3418246445497629,0.4785545023696682,422,311,72,43,138
Bretagne,2020-04-13,0.3104575163398693,0.4887254901960785,51,285,33,49,204
Bretagne,2020-04-20,0.3452380952380952,0.5250000000000001,7,170,17,55,163
Bretagne,2020-04-27,0.1071428571428571,0.4642857142857143,7,117,11,15,133
Bretagne,2020-05-04,0.4791666666666666,0.4343749999999999,8,80,7,19,101
Bretagne,2020-05-11,0.378623188405797,0.4934782608695652,46,46,12,8,75
Bretagne,2020-05-18,0.1666666666666666,0.4375,2,46,7,10,109
Bretagne,2020-05-25,0.25,0.375,1,40,4,5,50
Centre-Val de Loire,2020-04-06,0.3302213001383126,0.474066390041494,241,651,130,81,238
Centre-Val de Loire,2020-04-13,0.3580246913580246,0.4648148148148149,27,580,70,84,274
Centre-Val de Loire,2020-04-20,0.35,0.5050000000000001,5,404,48,84,303
Centre-Val de Loire,2020-04-27,0.6666666666666666,0.4,1,298,35,70,199
Centre-Val de Loire,2020-05-11,0.3846153846153847,0.4211538461538462,13,146,10,38,215
Grand-Est,2020-04-06,0.3413580246913583,0.4860185185185188,540,3616,628,725,1716
Grand-Est,2020-04-13,0.31,0.4934999999999999,50,2562,270,564,1784
Grand-Est,2020-04-20,0.3771929824561403,0.5052631578947369,19,1716,193,435,1565
Grand-Est,2020-04-27,0.3611111111111111,0.4833333333333334,6,1245,139,280,1263
Grand-Est,2020-05-04,0.25,0.475,6,910,112,225,1087
Grand-Est,2020-05-11,0.2906504065040651,0.4707317073170732,41,658,68,169,831
Grand-Est,2020-05-18,0.2666666666666666,0.415,5,567,52,167,871
Grand-Est,2020-05-25,0.3333333333333333,0.45,1,373,52,89,586
Hauts-de-France,2020-04-06,0.3616938616938618,0.4910256410256416,429,2024,339,345,743
Hauts-de-France,2020-04-13,0.3513888888888888,0.4924999999999999,60,1550,191,303,925
Hauts-de-France,2020-04-20,0.3819444444444444,0.48125,12,1218,136,264,857
Hauts-de-France,2020-04-27,0.2291666666666666,0.525,4,926,86,201,884
Hauts-de-France,2020-05-04,0.0833333333333333,0.475,1,507,54,115,526
Hauts-de-France,2020-05-11,0.3397435897435897,0.475,26,401,57,125,521
Hauts-de-France,2020-05-18,0.4166666666666667,0.5,1,366,38,96,491
